Code,Price,Volume,Value
TLKM      ,3510.00,124807300,441776070000
BBRI      ,3160.00,72237200,226745150000
POOL      ,4640.00,40594700,188482012000
BBCA      ,22725.00,8295700,187444280000
ADRO      ,1680.00,106696100,178560466500
ASII      ,6975.00,21389600,150104430000
BMRI      ,7150.00,20186200,143874922500
INKP      ,13475.00,10070000,134251955000
BKSL      ,162.00,569509000,92251865100
TRAM      ,374.00,219494400,81363109400
Code,Price,Volume,Value
TLKM      ,3510.00,125019100,442520552000
BBRI      ,3160.00,72273100,226858426000
POOL      ,4640.00,40594700,188482012000
BBCA      ,22725.00,8298300,187503397500
ADRO      ,1680.00,106700500,178567858500
ASII      ,7000.00,21456400,150570582500
BMRI      ,7175.00,20364700,145155535000
INKP      ,13475.00,10070500,134258692500
BKSL      ,161.00,569519100,92253491200
TRAM      ,374.00,219512500,81369879000
Code,Price,Volume,Value
TLKM      ,3510.00,124807300,441776070000
BBRI      ,3160.00,72237200,226745150000
POOL      ,4640.00,40594700,188482012000
BBCA      ,22725.00,8295700,187444280000
ADRO      ,1680.00,106696100,178560466500
ASII      ,6975.00,21389600,150104430000
BMRI      ,7150.00,20186200,143874922500
INKP      ,13475.00,10070000,134251955000
BKSL      ,162.00,569509000,92251865100
TRAM      ,374.00,219494400,81363109400
